model_name,Avg_Time,Std_Time,Avg_Cost,Avg_Words,Artistic_Context_%,Detailed_%,Performance_Rank
gemini-2.0-flash,2.468,0.646,0.001,46.062,0.5,1.0,1
pixtral-12b-2409,2.337,0.494,0.001,47.25,0.562,1.0,2
mistral-small-latest,2.549,0.797,0.001,45.312,0.5,1.0,3
mistral-medium-latest,4.957,3.408,0.001,57.312,0.562,1.0,4
gemini-2.5-flash-preview,4.778,1.368,0.001,56.688,0.562,1.0,5
pixtral-large-latest,6.204,11.729,0.001,59.467,0.667,1.0,6
gpt-4o-vision,5.453,1.217,0.005,50.25,0.438,1.0,7
llava-1.5-7b,6.445,3.664,0.005,46.312,0.312,1.0,8
blip-2,3.444,1.943,0.006,4.75,0.312,0.0,9
blip,5.803,5.336,0.005,11.375,0.375,0.0,10
