image_file,image_type,image_caption,story_model,generated_story,execution_time,cost,word_count,quality_score,meets_length_req,has_title,contains_dialogue,positive_tone,story_structure,age_appropriate,bedtime_suitable
toy_01.jpeg,toy,A doll with curly blonde hair and a red jumpsuit sitting on a couch,gpt-4o,"Title: The Cozy Couch Adventure

Once upon a time, in a cozy little cottage nestled by the woods, there lived a doll named Daisy. Daisy had curly blonde hair and wore a bright red jumpsuit. She loved her spot on the big, comfy couch where she could see the world outside through the window.

One sunny morning, Daisy noticed a little squirrel outside, trying to reach the bird feeder. The squirrel was too small to reach, so Daisy wished she could help. As if by magic, the wind whispered through the window, filling the room with a gentle breeze.

Daisy suddenly found herself on the windowsill! The squirrel looked up at Daisy and wiggled its tiny nose in thanks. Daisy smiled and watched as the squirrel cleverly found a way to climb up the tree and reach the feeder.

When the sun began to set, Daisy felt a warm glow in her heart. She had learned that sometimes, cheering someone on from afar can be just as helpful as lending a hand.

As the stars twinkled in the night sky, Daisy returned to her spot on the couch. She knew she had made a new friend and drifted off to sleep, dreaming of cozy adventures and kind deeds.",6.26,0.004345,208,26.75,True,True,False,True,True,True,True
toy_01.jpeg,toy,A doll with curly blonde hair and a red jumpsuit sitting on a couch,gpt-4o-mini,"Title: Daisy the Brave Little Doll

Once upon a time, in a cozy little living room, there was a doll named Daisy. Daisy had curly blonde hair that bounced whenever she laughed and wore a bright red jumpsuit that made her feel like a superhero. She lived on a soft couch, surrounded by colorful cushions and warm blankets.

Every night, as the stars twinkled outside the window, Daisy watched the children play. She dreamed of having adventures just like them. One evening, she decided to be brave. With a gentle leap from the couch, she landed softly on the floor. 

“Tonight, I’ll explore!” she whispered to herself. Daisy tiptoed around the room, discovering new games to play and even making friends with a friendly teddy bear. 

As the moonlight filled the room, Daisy realized that being brave didn’t mean being the biggest or the strongest. It meant having the courage to try new things and make new friends. 

Feeling happy and sleepy, Daisy climbed back onto the couch, snuggled into a warm blanket, and closed her eyes, dreaming of all the wonderful adventures waiting for her tomorrow. 

And so, Daisy the brave little doll drifted off to sleep, ready for dreams filled with joy.",4.13,0.000172,204,26.25,True,True,False,True,True,True,True
toy_01.jpeg,toy,A doll with curly blonde hair and a red jumpsuit sitting on a couch,claude-3.5-sonnet,"Title: Rosie's Lonely Evening

Rosie was a beautiful doll with bouncy blonde curls who sat all alone on the big brown couch. She wore her favorite red jumpsuit but didn't feel very cheerful. You see, her best friend, a teddy bear named Mr. Hugs, had fallen behind the couch yesterday, and she couldn't reach him.

As night fell, Rosie heard a tiny voice. ""Hello up there!"" A little mouse named Pip peeked out from behind the couch. At first, Rosie was nervous – she'd never talked to a mouse before.

""Would you like to be friends?"" Pip asked kindly. ""I noticed you looking sad.""

Rosie smiled and explained about Mr. Hugs. Without hesitation, Pip scurried behind the couch and, with a gentle push, helped Mr. Hugs back to his spot beside Rosie.

""Thank you!"" Rosie exclaimed, giving both Pip and Mr. Hugs a warm hug. ""I learned something important today – sometimes the best friends come in unexpected packages.""

From that evening on, the couch became a happy gathering spot where a doll, a teddy bear, and a tiny mouse shared stories and giggles every night.

[Word count: 156]",6.74,0.004146,189,24.50,True,True,True,True,True,True,True
toy_01.jpeg,toy,A doll with curly blonde hair and a red jumpsuit sitting on a couch,claude-3.5-haiku,"Title: Rosie's Cozy Night Adventure

In a warm, quiet living room, Rosie the doll sat on the soft, cushiony couch. Her golden curls bounced softly, and her bright red jumpsuit sparkled in the gentle lamplight. Though she looked cheerful, Rosie felt a little lonely.

One quiet evening, her favorite teddy bear, Mr. Snuggles, hopped onto the couch beside her. ""Why do you look sad?"" he asked kindly.

""I wish I had a friend to play with,"" Rosie whispered.

Mr. Snuggles smiled. ""But you do have friends! Sometimes they're right next to you, even if you can't see them moving.""

Just then, the other toys in the room - a wooden train, a soft bunny, and a colorful ball - all wiggled closer. They hadn't been able to move before, but something magical happened when Rosie felt sad.

""We're your friends!"" they whispered together.

Rosie's heart filled with warmth. She realized friendship isn't about constant movement, but about caring and being there for each other.

As moonlight danced through the window, Rosie snuggled close to her new friends, feeling loved and never alone again.",6.43,0.001094,183,23.75,True,True,True,True,True,True,True
toy_01.jpeg,toy,A doll with curly blonde hair and a red jumpsuit sitting on a couch,gemini-2.5-pro-preview,Content blocked by safety filters. Please try a different prompt.,5.56,0.000000,10,1.38,False,False,False,False,False,True,False
toy_01.jpeg,toy,A doll with curly blonde hair and a red jumpsuit sitting on a couch,gemini-2.5-flash-preview,Content blocked by safety filters. Please try a different prompt.,2.62,0.000000,10,1.38,False,False,False,False,False,True,False
toy_01.jpeg,toy,A doll with curly blonde hair and a red jumpsuit sitting on a couch,gemini-2.0-flash,Error: Gemini API error with gemini-2.0-flash: 'gemini-pro',0,0,0,0,False,False,False,False,False,False,False
toy_01.jpeg,toy,A doll with curly blonde hair and a red jumpsuit sitting on a couch,gemini-2.0-flash-lite,Error: Gemini API error with gemini-2.0-flash-lite: 'gemini-pro',0,0,0,0,False,False,False,False,False,False,False
toy_01.jpeg,toy,A doll with curly blonde hair and a red jumpsuit sitting on a couch,gemini-1.5-pro,Error: Gemini API error with gemini-1.5-pro: 'gemini-pro',0,0,0,0,False,False,False,False,False,False,False
toy_01.jpeg,toy,A doll with curly blonde hair and a red jumpsuit sitting on a couch,gemini-1.5-flash,Error: Gemini API error with gemini-1.5-flash: 'gemini-pro',0,0,0,0,False,False,False,False,False,False,False
