provider,voice_id,model,is_child_friendly,execution_time,cost_usd,audio_file_path,file_size_bytes,duration_estimate_sec,quality_score,generation_error,story_hash,story_source_model,story_source_image,story_word_count,character_count,timestamp
elevenlabs,EXAVITQu4vr4xnSDxMaL,eleven_flash_v2_5,True,2.202,0.015048,../results/tts/audio_files/story_644a16a4_elevenlabs_EXAVITQu4vr4xnSDxMaL.wav,694693,21.71,14.25,False,644a16a4,custom_test_story,robot_and_butterfly_workshop,106,684,20250613_223906
elevenlabs,FGY2WhTYpPnrIDTdsKH5,eleven_flash_v2_5,True,2.807,0.015048,../results/tts/audio_files/story_644a16a4_elevenlabs_FGY2WhTYpPnrIDTdsKH5.wav,649135,20.29,14.25,False,644a16a4,custom_test_story,robot_and_butterfly_workshop,106,684,20250613_223906
elevenlabs,cgSgspJ2msm6clMCkdW9,eleven_flash_v2_5,True,2.414,0.015048,../results/tts/audio_files/story_644a16a4_elevenlabs_cgSgspJ2msm6clMCkdW9.wav,716845,22.4,14.25,False,644a16a4,custom_test_story,robot_and_butterfly_workshop,106,684,20250613_223906
elevenlabs,bIHbv24MWmeRgasZH58o,eleven_flash_v2_5,True,2.274,0.015048,../results/tts/audio_files/story_644a16a4_elevenlabs_bIHbv24MWmeRgasZH58o.wav,712665,22.27,14.25,False,644a16a4,custom_test_story,robot_and_butterfly_workshop,106,684,20250613_223906
elevenlabs,TX3LPaxmHKxFdv7VOQHJ,eleven_flash_v2_5,True,2.226,0.015048,../results/tts/audio_files/story_644a16a4_elevenlabs_TX3LPaxmHKxFdv7VOQHJ.wav,679646,21.24,14.25,False,644a16a4,custom_test_story,robot_and_butterfly_workshop,106,684,20250613_223906
elevenlabs,N2lVS1w4EtoT3dr4eOWO,eleven_flash_v2_5,True,2.365,0.015048,../results/tts/audio_files/story_644a16a4_elevenlabs_N2lVS1w4EtoT3dr4eOWO.wav,766164,23.94,14.25,False,644a16a4,custom_test_story,robot_and_butterfly_workshop,106,684,20250613_223906
elevenlabs,IKne3meq5aSn9XLyUdCD,eleven_flash_v2_5,True,2.373,0.015048,../results/tts/audio_files/story_644a16a4_elevenlabs_IKne3meq5aSn9XLyUdCD.wav,708067,22.13,14.25,False,644a16a4,custom_test_story,robot_and_butterfly_workshop,106,684,20250613_223906
elevenlabs,XB0fDUnXU5powFXDhCwa,eleven_flash_v2_5,False,2.609,0.015048,../results/tts/audio_files/story_644a16a4_elevenlabs_XB0fDUnXU5powFXDhCwa.wav,830529,25.95,14.25,False,644a16a4,custom_test_story,robot_and_butterfly_workshop,106,684,20250613_223906
elevenlabs,cjVigY5qzO86Huf0OWal,eleven_flash_v2_5,True,2.021,0.015048,../results/tts/audio_files/story_644a16a4_elevenlabs_cjVigY5qzO86Huf0OWal.wav,633671,19.8,14.25,False,644a16a4,custom_test_story,robot_and_butterfly_workshop,106,684,20250613_223906
elevenlabs,XrExE9yKIg1WjnnlVkGX,eleven_flash_v2_5,True,2.555,0.015048,../results/tts/audio_files/story_644a16a4_elevenlabs_XrExE9yKIg1WjnnlVkGX.wav,765328,23.92,14.25,False,644a16a4,custom_test_story,robot_and_butterfly_workshop,106,684,20250613_223906
elevenlabs,Xb7hH8MSUJpSbSDYk0k2,eleven_flash_v2_5,False,2.491,0.015048,../results/tts/audio_files/story_644a16a4_elevenlabs_Xb7hH8MSUJpSbSDYk0k2.wav,750281,23.45,14.25,False,644a16a4,custom_test_story,robot_and_butterfly_workshop,106,684,20250613_223906
elevenlabs,iP95p4xoKVk53GoZ742B,eleven_flash_v2_5,False,2.413,0.015048,../results/tts/audio_files/story_644a16a4_elevenlabs_iP95p4xoKVk53GoZ742B.wav,685916,21.43,14.25,False,644a16a4,custom_test_story,robot_and_butterfly_workshop,106,684,20250613_223906
google,en-US-Neural2-H,Neural2,True,2.022,0.010944,../results/tts/audio_files/story_644a16a4_google_en-US-Neural2-H.wav,1851304,57.85,13.5,False,644a16a4,custom_test_story,robot_and_butterfly_workshop,106,684,20250613_223906
google,en-US-Neural2-F,Neural2,True,2.622,0.010944,../results/tts/audio_files/story_644a16a4_google_en-US-Neural2-F.wav,2044214,63.88,13.5,False,644a16a4,custom_test_story,robot_and_butterfly_workshop,106,684,20250613_223906
google,en-US-Neural2-J,Neural2,False,2.156,0.010944,../results/tts/audio_files/story_644a16a4_google_en-US-Neural2-J.wav,1974966,61.72,13.5,False,644a16a4,custom_test_story,robot_and_butterfly_workshop,106,684,20250613_223906
google,en-US-Neural2-G,Neural2,True,3.805,0.010944,../results/tts/audio_files/story_644a16a4_google_en-US-Neural2-G.wav,1915826,59.87,13.5,False,644a16a4,custom_test_story,robot_and_butterfly_workshop,106,684,20250613_223906
google,en-US-Neural2-I,Neural2,True,1.767,0.010944,../results/tts/audio_files/story_644a16a4_google_en-US-Neural2-I.wav,1882612,58.83,13.5,False,644a16a4,custom_test_story,robot_and_butterfly_workshop,106,684,20250613_223906
google,en-GB-Neural2-A,Neural2,False,1.772,0.010944,../results/tts/audio_files/story_644a16a4_google_en-GB-Neural2-A.wav,2011394,62.86,13.5,False,644a16a4,custom_test_story,robot_and_butterfly_workshop,106,684,20250613_223906
google,en-GB-Neural2-B,Neural2,False,1.8,0.010944,../results/tts/audio_files/story_644a16a4_google_en-GB-Neural2-B.wav,1891342,59.1,13.5,False,644a16a4,custom_test_story,robot_and_butterfly_workshop,106,684,20250613_223906
google,en-GB-Neural2-C,Neural2,True,3.602,0.010944,../results/tts/audio_files/story_644a16a4_google_en-GB-Neural2-C.wav,2145426,67.04,13.5,False,644a16a4,custom_test_story,robot_and_butterfly_workshop,106,684,20250613_223906
google,en-GB-Neural2-D,Neural2,False,3.715,0.010944,../results/tts/audio_files/story_644a16a4_google_en-GB-Neural2-D.wav,2125720,66.43,13.5,False,644a16a4,custom_test_story,robot_and_butterfly_workshop,106,684,20250613_223906
google,en-AU-Neural2-A,Neural2,True,2.195,0.010944,../results/tts/audio_files/story_644a16a4_google_en-AU-Neural2-A.wav,2067508,64.61,13.5,False,644a16a4,custom_test_story,robot_and_butterfly_workshop,106,684,20250613_223906
google,en-AU-Neural2-B,Neural2,False,1.79,0.010944,../results/tts/audio_files/story_644a16a4_google_en-AU-Neural2-B.wav,1735442,54.23,13.5,False,644a16a4,custom_test_story,robot_and_butterfly_workshop,106,684,20250613_223906
google,en-AU-Neural2-C,Neural2,True,1.749,0.010944,../results/tts/audio_files/story_644a16a4_google_en-AU-Neural2-C.wav,1891314,59.1,13.5,False,644a16a4,custom_test_story,robot_and_butterfly_workshop,106,684,20250613_223906
google,en-AU-Neural2-D,Neural2,False,1.698,0.010944,../results/tts/audio_files/story_644a16a4_google_en-AU-Neural2-D.wav,1729164,54.04,13.5,False,644a16a4,custom_test_story,robot_and_butterfly_workshop,106,684,20250613_223906
openai,alloy,tts-1,False,7.068,0.01026,../results/tts/audio_files/story_644a16a4_openai_alloy.wav,2021444,63.17,12.75,False,644a16a4,custom_test_story,robot_and_butterfly_workshop,106,684,20250613_223906
